gbifID	latlon	name	best	species
2067728386	espanola	espanola	espanola	Creagrus furcatus
3855261841	pinta	-	pinta	Sida spinosa
2127309650	isabela	isabela	isabela	Myiarchus magnirostris
2756000007	fernandina	fernandina	fernandina	Nyctanassa violacea
3089706355	-	-	-	Stenella coeruleoalba
2702631362	santa cruz	santa cruz	santa cruz	Pelecanus occidentalis
1201820957	floreana	floreana	floreana	Coccyzus melacoryphus
1352984052	san cristobal	san cristobal	san cristobal	Geospiza fortis
3855262108	isabela	-	isabela	Groutiella apiculata
1990561573	santa cruz	santa cruz	santa cruz	Cordia lutea
2799444857	isabela	isabela	isabela	Geospiza fortis
2866838177	santa cruz	-	santa cruz	Microlophus albemarlensis
3153118729	santa cruz	santa cruz	santa cruz	Myiarchus magnirostris
543461950	espanola	espanola	espanola	Microlophus delanonis
2712551902	espanola	espanola	espanola	Creagrus furcatus
473250010	santiago	santiago	santiago	Malacoctenus zonogaster
3855282180	santa cruz	-	santa cruz	Herissantia crispa
1151976278	seymour	seymour	seymour	Geospiza fortis
2720407737	santa cruz	santa cruz	santa cruz	Himantopus mexicanus
3298976213	bartolome	bartolome	bartolome	Spheniscus mendiculus
1287643536	floreana	-	floreana	Stegastes beebei
821559099	seymour	seymour	seymour	Calidris alba
3684648676	santa cruz	santa cruz	santa cruz	Mimus parvulus
3383963293	san cristobal	san cristobal	san cristobal	Ipomoea pes-caprae
2730002063	santa cruz	floreana	santa cruz	Sula nebouxii
1423532223	isabela	fernandina	fernandina	Sufflamen verres
2070919303	san cristobal	-	san cristobal	Pelecanus occidentalis
3855273703	pinzon	-	pinzon	Desmanthus virgatus
2705458182	isabela	isabela	isabela	Spheniscus mendiculus
1287642454	fernandina	-	fernandina	Oplegnathus insignis
1790219465	isabela	isabela	isabela	Pterodroma phaeopygia
